Year,Region,Area,Lattitude,Longitude,Humidity,Min Temperature,Max Temperature,Min Ph,Max Ph,Crop,Month,Sowing,Others,Investment,Yield,MarketPrice,TotalValue,Profit,Seeds
2010,Mysore,T Narasipura,12.211,76.9038,80-90%,26,34,6.2,7.3,Groundnut,June,10219,3564,13783,14.7,5604,82378.8,68595.8,80-100 Kilograms
2010,Mysore,Nanjangud,12.116,76.6782,80-90%,26,34,6.2,7.3,Groundnut,June,10272,3678,13950,14.5,6019,87275.5,73325.5,80-100 Kilograms
2010,Mysore,Hunsur,12.3091,76.2833,80-90%,26,34,6.2,7.3,Groundnut,June,9506,3513,13019,13.1,6027,78953.7,65934.7,80-100 Kilograms
2010,Mysore,K R Nagara,12.44,76.3811,80-90%,26,34,6.2,7.3,Groundnut,June,10455,3567,14022,13.4,5281,70765.4,56743.4,80-100 Kilograms
2010,Mysore,T Narasipura,12.211,76.9038,80-90%,26,34,6.2,7.3,Groundnut,July,9341,3772,13113,14.6,6084,88826.4,75713.4,80-100 Kilograms
2010,Mysore,Nanjangud,12.116,76.6782,80-90%,26,34,6.2,7.3,Groundnut,July,9679,3554,13233,13.6,6044,82198.4,68965.4,80-100 Kilograms
2010,Mysore,Hunsur,12.3091,76.2833,80-90%,26,34,6.2,7.3,Groundnut,July,9745,3646,13391,14.7,5968,87729.6,74338.6,80-100 Kilograms
2010,Mysore,K R Nagara,12.44,76.3811,80-90%,26,34,6.2,7.3,Groundnut,July,9269,3652,12921,14.5,5360,77720,64799,80-100 Kilograms
2010,Mysore,T Narasipura,12.211,76.9038,80-90%,26,34,6.2,7.3,Groundnut,August,9506,3549,13055,13.4,5896,79006.4,65951.4,80-100 Kilograms
2010,Mysore,Nanjangud,12.116,76.6782,80-90%,26,34,6.2,7.3,Groundnut,August,10230,3756,13986,13.8,5298,73112.4,59126.4,80-100 Kilograms
2010,Mysore,Hunsur,12.3091,76.2833,80-90%,26,34,6.2,7.3,Groundnut,August,9566,3724,13290,14.3,5372,76819.6,63529.6,80-100 Kilograms
2010,Mysore,K R Nagara,12.44,76.3811,80-90%,26,34,6.2,7.3,Groundnut,August,9948,3600,13548,13.3,5461,72631.3,59083.3,80-100 Kilograms
2010,Mysore,T Narasipura,12.211,76.9038,80-90%,26,34,6.2,7.3,Groundnut,September,9982,3713,13695,13.7,5289,72459.3,58764.3,80-100 Kilograms
2010,Mysore,Nanjangud,12.116,76.6782,80-90%,26,34,6.2,7.3,Groundnut,September,9984,3544,13528,13.1,5645,73949.5,60421.5,80-100 Kilograms
2010,Mysore,Hunsur,12.3091,76.2833,80-90%,26,34,6.2,7.3,Groundnut,September,10508,3656,14164,14.5,5298,76821,62657,80-100 Kilograms
2010,Mysore,K R Nagara,12.44,76.3811,80-90%,26,34,6.2,7.3,Groundnut,September,10249,3495,13744,14.5,5712,82824,69080,80-100 Kilograms
2010,Mysore,T Narasipura,12.211,76.9038,80-90%,26,34,6.2,7.3,Groundnut,October,9446,3808,13254,14.5,6050,87725,74471,80-100 Kilograms
2010,Mysore,Nanjangud,12.116,76.6782,80-90%,26,34,6.2,7.3,Groundnut,October,10471,3705,14176,13.2,5934,78328.8,64152.8,80-100 Kilograms
2010,Mysore,Hunsur,12.3091,76.2833,80-90%,26,34,6.2,7.3,Groundnut,October,9560,3515,13075,13.4,5825,78055,64980,80-100 Kilograms
2010,Mysore,K R Nagara,12.44,76.3811,80-90%,26,34,6.2,7.3,Groundnut,October,9537,3756,13293,13.6,5807,78975.2,65682.2,80-100 Kilograms
2011,Mysore,T Narasipura,12.211,76.9038,80-90%,26,34,6.2,7.3,Groundnut,June,9920,3681,13601,13.4,5378,72065.2,58464.2,80-100 Kilograms
2011,Mysore,Nanjangud,12.116,76.6782,80-90%,26,34,6.2,7.3,Groundnut,June,9365,3804,13169,14.5,5863,85013.5,71844.5,80-100 Kilograms
2011,Mysore,Hunsur,12.3091,76.2833,80-90%,26,34,6.2,7.3,Groundnut,June,9743,3644,13387,13.5,5919,79906.5,66519.5,80-100 Kilograms
2011,Mysore,K R Nagara,12.44,76.3811,80-90%,26,34,6.2,7.3,Groundnut,June,9263,3626,12889,14.7,5992,88082.4,75193.4,80-100 Kilograms
2011,Mysore,T Narasipura,12.211,76.9038,80-90%,26,34,6.2,7.3,Groundnut,July,9792,3781,13573,13.4,5796,77666.4,64093.4,80-100 Kilograms
2011,Mysore,Nanjangud,12.116,76.6782,80-90%,26,34,6.2,7.3,Groundnut,July,10110,3484,13594,14.5,5877,85216.5,71622.5,80-100 Kilograms
2011,Mysore,Hunsur,12.3091,76.2833,80-90%,26,34,6.2,7.3,Groundnut,July,9212,3572,12784,13.2,6054,79912.8,67128.8,80-100 Kilograms
2011,Mysore,K R Nagara,12.44,76.3811,80-90%,26,34,6.2,7.3,Groundnut,July,9863,3450,13313,13.1,5857,76726.7,63413.7,80-100 Kilograms
2011,Mysore,T Narasipura,12.211,76.9038,80-90%,26,34,6.2,7.3,Groundnut,August,10363,3528,13891,14.2,5978,84887.6,70996.6,80-100 Kilograms
2011,Mysore,Nanjangud,12.116,76.6782,80-90%,26,34,6.2,7.3,Groundnut,August,10233,3795,14028,13.8,6114,84373.2,70345.2,80-100 Kilograms
2011,Mysore,Hunsur,12.3091,76.2833,80-90%,26,34,6.2,7.3,Groundnut,August,9465,3558,13023,13.3,5855,77871.5,64848.5,80-100 Kilograms
2011,Mysore,K R Nagara,12.44,76.3811,80-90%,26,34,6.2,7.3,Groundnut,August,9819,3657,13476,14.5,5882,85289,71813,80-100 Kilograms
2011,Mysore,T Narasipura,12.211,76.9038,80-90%,26,34,6.2,7.3,Groundnut,September,10119,3750,13869,14.4,5678,81763.2,67894.2,80-100 Kilograms
2011,Mysore,Nanjangud,12.116,76.6782,80-90%,26,34,6.2,7.3,Groundnut,September,9421,3667,13088,14.2,5865,83283,70195,80-100 Kilograms
2011,Mysore,Hunsur,12.3091,76.2833,80-90%,26,34,6.2,7.3,Groundnut,September,10121,3700,13821,13.6,5974,81246.4,67425.4,80-100 Kilograms
2011,Mysore,K R Nagara,12.44,76.3811,80-90%,26,34,6.2,7.3,Groundnut,September,9629,3578,13207,13.4,5663,75884.2,62677.2,80-100 Kilograms
2011,Mysore,T Narasipura,12.211,76.9038,80-90%,26,34,6.2,7.3,Groundnut,October,10396,3655,14051,14.1,5431,76577.1,62526.1,80-100 Kilograms
2011,Mysore,Nanjangud,12.116,76.6782,80-90%,26,34,6.2,7.3,Groundnut,October,9388,3732,13120,13.4,5751,77063.4,63943.4,80-100 Kilograms
2011,Mysore,Hunsur,12.3091,76.2833,80-90%,26,34,6.2,7.3,Groundnut,October,9992,3663,13655,14.7,6028,88611.6,74956.6,80-100 Kilograms
2011,Mysore,K R Nagara,12.44,76.3811,80-90%,26,34,6.2,7.3,Groundnut,October,9375,3711,13086,13.1,5643,73923.3,60837.3,80-100 Kilograms
